"iteration","current","best_so_far"
1275,0,3.61
1276,0,3.61
1277,0,3.61
1278,0,3.61
1279,0,3.61
1280,0,3.61
1281,0,3.61
1282,0,3.61
1283,0,3.61
1284,0,3.61
1285,0,3.61
1286,0,3.61
1287,0,3.61
1288,0,3.61
1289,0,3.61
1290,0,3.61
1291,0,3.61
1292,0,3.61
1293,0,3.61
1294,0,3.61
1295,0,3.61
1296,0,3.61
1297,0,3.61
1298,0,3.61
1299,0,3.61
1300,0,3.61
1301,0,3.61
1302,0,3.61
1303,0,3.61
1304,0,3.61
1305,0,3.61
1306,0,3.61
1307,0,3.61
1308,0,3.61
1309,0,3.61
1310,0,3.61
1311,0,3.61
1312,0,3.61
1313,0,3.61
1314,0,3.61
1315,0,3.61
1316,0,3.61
1317,0,3.61
1318,0,3.61
1319,0,3.61
1320,0,3.61
1321,0,3.61
1322,0,3.61
1323,0,3.61
1324,0,3.61
1325,0,3.61
1326,0,3.61
1327,0,3.61
1328,0,3.61
1329,0,3.61
1330,0,3.61
1331,0,3.61
1332,0,3.61
1333,0,3.61
1334,0,3.61
1335,0,3.61
1336,0,3.61
1337,0,3.61
1338,0,3.61
1339,0,3.61
1340,0,3.61
1341,0,3.61
1342,0,3.61
1343,0,3.61
1344,0,3.61
1345,0,3.61
1346,0,3.61
1347,0,3.61
1348,0,3.61
1349,0,3.61
1350,0,3.61
1351,0,3.61
1352,0,3.61
1353,0,3.61
1354,0,3.61
1355,0,3.61
1356,0,3.61
1357,0,3.61
1358,0,3.61
1359,0,3.61
1360,0,3.61
1361,0,3.61
1362,0,3.61
1363,0,3.61
1364,0,3.61
1365,0,3.61
1366,0,3.61
1367,0,3.61
1368,0,3.61
1369,0,3.61
1370,0,3.61
1371,0,3.61
1372,0,3.61
1373,0,3.61
1374,0,3.61
1375,0,3.61
1376,0,3.61
1377,0,3.61
1378,0,3.61
1379,0,3.61
1380,0,3.61
1381,0,3.61
1382,0,3.61
1383,0,3.61
1384,0,3.61
1385,0,3.61
1386,0,3.61
1387,0,3.61
1388,0,3.61
1389,0,3.61
1390,0,3.61
1391,0,3.61
1392,0,3.61
1393,0,3.61
1394,0,3.61
1395,0,3.61
1396,0,3.61
1397,0,3.61
1398,0,3.61
1399,0,3.61
1400,0,3.61
1401,0,3.61
1402,0,3.61
1403,0,3.61
1404,0,3.61
1405,0,3.61
1406,0,3.61
1407,0,3.61
1408,0,3.61
1409,0,3.61
1410,0,3.61
1411,0,3.61
1412,0,3.61
1413,0,3.61
1414,0,3.61
1415,0,3.61
1416,0,3.61
1417,0,3.61
1418,0,3.61
1419,0,3.61
1420,0,3.61
1421,0,3.61
1422,0,3.61
1423,0,3.61
1424,0,3.61
1425,0,3.61
1426,0,3.61
1427,0,3.61
1428,0,3.61
1429,0,3.61
1430,0,3.61
1431,0,3.61
1432,0,3.61
1433,0,3.61
1434,0,3.61
1435,0,3.61
1436,0,3.61
1437,0,3.61
1438,0,3.61
