TIPS;INI_EON;INI_ERA;INI_PERIOD;INI_EPOCH;INI_AGE;FIRST;END_EON;END_ERA;END_PERIOD;END_EPOCH;END_AGE;LAST;STATE;COUNTRY_ORI_ID;ENVIRONMENT;LOCOMOTION;DIET;COMPOSITION;PBDB_KINGDOM;PBDB_PHYLUM;PBDB_CLASS;PBDB_SUBCLASS;PBDB_FAMILY;PBDB_GENUS;SOURCE
S._icaeorhinus;Phanerozoic;Cenozoic;Paleogene;Eocene;Lutetian;48.6;Phanerozoic;Cenozoic;Paleogene;Eocene;Priabonian;37.2;extinct ;Argentina;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sebecidae;Sebecus;https://www.mindat.org/
S._querejazus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;Phanerozoic;Cenozoic;Paleogene;Paleocene;Selandian;61.6;extinct ;Bolivia;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sebecidae;Sebecus;https://www.mindat.org/
Lumbrera_form;Phanerozoic;Cenozoic;Paleogene;Paleocene;Thanetian;58.7;Phanerozoic;Cenozoic;Paleogene;Eocene;Priabonian;37.2;extinct ;Argentina;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sebecidae;Sebecus;https://www.mindat.org/ registro stratigrafico
Morrinhosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Morrinhosuchus;https://www.mindat.org/
Coringasuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;93.9;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Coringasuchus;https://www.mindat.org/
Notosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;86.3;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;extinct ;Argentina;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Notosuchus;https://www.mindat.org/
Llanosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;extinct ;Argentina;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Llanosuchus;https://www.mindat.org/
Labidiosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Labidiosuchus;https://www.mindat.org/
Mariliasuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Mariliasuchus;https://www.mindat.org/
S._huenei;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sphagesauridae;Sphagesaurus;https://www.mindat.org/
Caryonosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sphagesauridae;Caryonosuchus;https://www.mindat.org/
Armadillosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sphagesauridae;Armadillosuchus;https://www.mindat.org/
Caipirasuchus.stenognathus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sphagesauridae;Caipirasuchus;https://www.mindat.org/
