book_id,group,title_es,author,audience,translated,n_tokens_running,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,emotion_density,valence_ratio,valence_balance,count_anger,count_anticipation,count_disgust,count_fear,count_joy,count_negative,count_positive,count_sadness,count_surprise,count_trust
CMP38,Comparison,Los senderos de la muerte,R. A. Salvatore,adult,TRUE,131528,24.46627334103765,20.086977677756828,18.513168298765283,31.164466881576548,11.89100419682501,47.449972629402104,41.4436469801107,19.8284775865215,12.141901344200475,23.713581898911258,161.80585122559455,0.8734177215189873,-6.006325649291405,3218,2642,2435,4099,1564,6241,5451,2608,1597,3119
CMP39,Comparison,El alquimista,Paulo Coelho,adult,TRUE,38086,17.04038229270598,33.24056083600273,12.18295436643386,19.69227537677887,20.34868455600483,30.851231423620227,50.648532269075254,17.56550963608675,12.813107178490784,30.27359134590138,163.15706558840517,1.6417021276595747,19.797300845455027,649,1266,464,750,775,1175,1929,669,488,1153
CMP40,Comparison,El ladrón del rayo,Rick Riordan,young_adult,TRUE,89382,16.043498691011614,22.431809536595736,13.358394307578708,22.487749211250588,16.904969680696336,38.31867713857376,43.733637645163455,20.563424403123673,13.112259739097357,29.748718981450406,154.65082455080443,1.1413138686131388,5.4149605065896935,1434,2005,1194,2010,1511,3425,3909,1838,1172,2659
CMP41,Comparison,El mar de los monstruos,Rick Riordan,young_adult,TRUE,68957,14.70481604478153,21.941209739402815,13.095117246980003,21.288629145699495,14.96584828226286,37.11008309526226,41.06907203039575,19.57741781109967,12.370027698420754,25.247618080832982,143.19068404948013,1.1066822977725674,3.9589889351334904,1014,1513,903,1468,1032,2559,2832,1350,853,1741
CMP42,Comparison,La batalla del laberinto,Rick Riordan,young_adult,TRUE,90663,14.018949295743578,21.94941707201394,12.739485788028192,22.677387688472695,13.31303839493509,39.93911518480527,39.97220475828067,20.725102853424218,12.331381048498285,24.817180106548427,142.57194224766442,1.0008285004142503,0.03308957347540087,1271,1990,1155,2056,1207,3621,3624,1879,1118,2250
CMP43,Comparison,La maldición del titán,Rick Riordan,young_adult,TRUE,75349,13.736081434391963,20.013537007790415,13.271576265113007,22.64130910828279,14.014784535959336,37.704548169186054,40.51812233739001,19.668476024897476,11.785159723420351,24.698403429375308,139.82932752923065,1.0746216121084124,2.8135741682039566,1035,1508,1000,1706,1056,2841,3053,1482,888,1861
CMP44,Comparison,Peter Pan,J. M. Barrie,children,TRUE,47889,14.867714924095305,20.923385328572323,13.406001378187058,18.334064190106286,14.972123034517322,38.108960304036415,44.10198584226023,19.754014491845727,11.923406210194408,24.243563239992483,138.42427279751092,1.1572602739726028,5.993025538223812,712,1002,642,878,717,1825,2112,946,571,1161
CMP45,Comparison,Hora cero,S. D. Perry,adult,TRUE,62212,15.929402687584389,20.783771619623224,16.572365460039865,27.47058445316016,12.312737092522344,43.464283417990096,36.19880408924323,22.34295634282775,13.759403330547162,25.975696007201183,155.14691699350607,0.8328402366863906,-7.2654793287468635,991,1293,1031,1709,766,2704,2252,1390,856,1616
CMP46,Comparison,La conspiración Umbrella,S. D. Perry,adult,TRUE,73887,13.886069267936174,20.152394873252398,14.57631247716107,21.817099083735975,9.839349276598048,38.51827791086389,39.47920473154953,19.65163019205002,12.356706863182968,31.277491304288983,143.55705333820563,1.0249472944483486,0.9609268206856427,1026,1489,1077,1612,727,2846,2917,1452,913,2311
CMP47,Comparison,El siervo de la piedra,R. A. Salvatore,adult,TRUE,110651,26.289866336499443,20.67762604947086,16.601747837796314,32.408202365997596,12.977740824755312,47.211502833232416,45.006371383900735,24.581793205664656,16.01431527957271,24.91617789265348,174.46746979241038,0.9532924961715161,-2.205131449331681,2909,2288,1837,3586,1436,5224,4980,2720,1772,2757
