"doc_id","n_oraciones_af","polaridad_media","polaridad_sd","prop_oraciones_negativas","n_anger","n_anticipation","n_disgust","n_fear","n_joy","n_sadness","n_surprise","n_trust","prop_ira","prop_anticipacion","prop_asco","prop_miedo","prop_alegria","prop_tristeza","prop_sorpresa","prop_confianza"
"L0501",372,-0.00597339793215426,0.161595263954058,0.333333333333333,163,288,149,279,205,242,147,349,0.0894621295279912,0.158068057080132,0.0817782656421515,0.153128430296378,0.11251372118551,0.132821075740944,0.0806805708013172,0.191547749725576
"L0502",372,-0.00597339793215426,0.161595263954058,0.333333333333333,163,288,149,279,205,242,147,349,0.0894621295279912,0.158068057080132,0.0817782656421515,0.153128430296378,0.11251372118551,0.132821075740944,0.0806805708013172,0.191547749725576
"L0503",23,-0.0354119829377467,0.453731870868271,0.217391304347826,12,25,8,14,20,15,19,17,0.0923076923076923,0.192307692307692,0.0615384615384615,0.107692307692308,0.153846153846154,0.115384615384615,0.146153846153846,0.130769230769231
"L0504",129,0.0164413128617016,0.130389105666736,0.232558139534884,74,107,51,95,76,59,51,110,0.118780096308186,0.171749598715891,0.0818619582664527,0.152487961476726,0.12199036918138,0.0947030497592295,0.0818619582664527,0.176565008025682
"L0505",7456,-0.00472184212039448,0.221660878523974,0.254828326180258,5020,6340,5284,6985,4802,6807,2890,10842,0.102511741882785,0.129467020624872,0.107902797631203,0.14263835001021,0.0980600367571983,0.139003471513171,0.0590157239125996,0.22140085766796
"L0506",4901,-0.019277424805909,0.210365725172973,0.383187104672516,3685,3649,2458,5144,2198,3872,1836,3474,0.140028879768962,0.138660890712874,0.0934032527739778,0.19547043623651,0.0835233318133455,0.147134822921417,0.0697674418604651,0.132010943912449
"L0507",6131,0.0194262654035603,0.224666317418821,0.255912575436307,2060,3968,1799,3362,3150,4266,1885,5264,0.0799875747456706,0.154073153684864,0.0698532266832337,0.130542828298517,0.122311097305273,0.165644171779141,0.0731925137842665,0.204395433719034
"L0509",1003,0.0313605591372,0.208033339218893,0.219341974077767,306,529,301,394,497,455,292,525,0.0927553804183086,0.160351621703547,0.0912397696271597,0.119430130342528,0.150651712640194,0.137920581994544,0.0885116702030918,0.159139133070627
"L0511",599,-0.0198392825838892,0.18820051106998,0.332220367278798,267,334,221,428,192,309,185,333,0.117672983693257,0.147201410312913,0.0973997355663288,0.188629352137506,0.0846187747906567,0.136183340678713,0.0815337152930806,0.146760687527545
"L0512",129,0.0227199301671808,0.122527482389091,0.255813953488372,38,79,42,65,69,63,45,99,0.076,0.158,0.084,0.13,0.138,0.126,0.09,0.198
"L0513",13,-0.00718551391628315,0.189478685954415,0.538461538461538,11,10,10,15,4,12,9,9,0.1375,0.125,0.125,0.1875,0.05,0.15,0.1125,0.1125
"L0514",3616,0.0199893858541185,0.21428738902957,0.238384955752212,779,1857,962,1349,1664,1669,1023,1879,0.0696655338937578,0.166070470398855,0.0860311214451798,0.120640314791629,0.148810588445716,0.149257735646575,0.0914863172956537,0.168037918082633
"L0515",588,0.00666348938412328,0.152620723335432,0.345238095238095,523,623,332,710,562,633,362,738,0.116662948918135,0.138969440107071,0.0740575507472675,0.158376087441445,0.12536248048182,0.141200089225965,0.0807494981039483,0.164621904974348
"L0516",3679,-0.0198389112652529,0.228705080093521,0.319652079369394,1674,1966,1379,2474,1217,1966,1130,2146,0.119982798165138,0.140911697247706,0.098838876146789,0.177322247706422,0.0872276376146789,0.140911697247706,0.0809919724770642,0.153813073394495
"L0517",589,0.0106108400145271,0.283831066665361,0.256366723259762,142,296,99,199,335,286,175,284,0.0781938325991189,0.162995594713656,0.0545154185022026,0.109581497797357,0.184471365638767,0.157488986784141,0.0963656387665198,0.156387665198238
"L0518",1535,0.0110622154618911,0.226025658206867,0.218241042345277,321,664,319,529,445,596,344,669,0.0825829688705943,0.170825829688706,0.0820684332390018,0.136094674556213,0.114484178029329,0.153331618214561,0.0885001286339079,0.172112168767687
"L0519",69,0.0643964451901525,0.216867860067958,0.231884057971014,27,60,18,35,56,23,34,36,0.0934256055363322,0.207612456747405,0.0622837370242214,0.121107266435986,0.193771626297578,0.0795847750865052,0.117647058823529,0.124567474048443
"L0522",272,0.031640788506726,0.169678094381196,0.25,50,171,68,111,159,145,63,162,0.0538213132400431,0.184068891280947,0.0731969860064586,0.119483315392896,0.171151776103337,0.156081808396125,0.0678148546824543,0.17438105489774
"L0523",4193,0.0142279299197016,0.270993142696464,0.297161936560935,2634,2768,2237,3268,2260,3323,1653,3802,0.120027341079973,0.1261335156072,0.101936659831397,0.148917748917749,0.102984734563682,0.151424014581909,0.0753246753246753,0.173251310093415
"L0524",302,-0.0124360378770959,0.204173091134207,0.321192052980132,157,188,115,200,127,168,125,225,0.120306513409962,0.144061302681992,0.0881226053639847,0.153256704980843,0.0973180076628352,0.128735632183908,0.0957854406130268,0.172413793103448
"L0525",131,0.121746810645331,0.435008571965684,0.122137404580153,13,44,11,25,57,34,26,52,0.049618320610687,0.16793893129771,0.0419847328244275,0.0954198473282443,0.217557251908397,0.129770992366412,0.099236641221374,0.198473282442748
"L0529",3161,0.00549599117356718,0.270283822233227,0.236001265422335,847,1519,547,1373,1007,1281,786,1599,0.0945418015403505,0.169550173010381,0.0610559214198013,0.153253711351713,0.112400937604643,0.142984708114745,0.0877330059158388,0.178479741042527
"L0530",77,0.0244209682687076,0.142667496732605,0.207792207792208,20,36,14,19,42,21,16,34,0.099009900990099,0.178217821782178,0.0693069306930693,0.0940594059405941,0.207920792079208,0.103960396039604,0.0792079207920792,0.168316831683168
"L0531",801,-0.00190023633098999,0.224418075123154,0.287141073657928,385,367,191,306,246,451,164,419,0.152234084618426,0.145116646896006,0.0755239224990115,0.120996441281139,0.0972716488730724,0.178331356267299,0.0648477659153816,0.165678133649664
"L0532",2663,0.00871120508167127,0.225854796895687,0.218550506947052,619,1177,960,806,934,1138,588,1826,0.0769135188866799,0.146247514910537,0.119284294234592,0.100149105367793,0.116053677932406,0.141401590457256,0.0730616302186879,0.226888667992048
"L0534",25,0.0250142258612847,0.184554891322219,0.16,8,10,6,15,10,13,5,7,0.108108108108108,0.135135135135135,0.0810810810810811,0.202702702702703,0.135135135135135,0.175675675675676,0.0675675675675676,0.0945945945945946
"L0535",222,0.0162350484907654,0.188826480330137,0.216216216216216,55,104,64,103,96,90,68,120,0.0785714285714286,0.148571428571429,0.0914285714285714,0.147142857142857,0.137142857142857,0.128571428571429,0.0971428571428571,0.171428571428571
"L0536",83,0.0283663653687408,0.123568474436273,0.240963855421687,29,60,32,33,70,63,27,71,0.0753246753246753,0.155844155844156,0.0831168831168831,0.0857142857142857,0.181818181818182,0.163636363636364,0.0701298701298701,0.184415584415584
"L0537",64,-0.000797776222025747,0.125014021761225,0.328125,39,48,32,35,40,40,28,67,0.11854103343465,0.145896656534954,0.0972644376899696,0.106382978723404,0.121580547112462,0.121580547112462,0.0851063829787234,0.203647416413374
"L0538",10308,0.00552911378485132,0.214322263516803,0.239231664726426,2793,4712,2501,4585,3011,4239,2509,4941,0.0953535215595234,0.160868526168448,0.0853845891229388,0.156532723362125,0.102796080707385,0.144720221228364,0.0856577105595575,0.16868662729166
"L0540",859,0.0199381550345875,0.213827101256437,0.217694994179278,183,473,209,306,421,356,205,474,0.0696612105062809,0.180053292729349,0.0795584316711077,0.116482679862962,0.160258850399695,0.135515797487628,0.0780357822611344,0.180433955081842
"L0541",535,0.0346938130180958,0.172797397426924,0.226168224299065,132,462,175,333,398,304,187,338,0.0566766852726492,0.198368398454272,0.0751395448690425,0.142979819665092,0.170888793473594,0.130528123658222,0.0802919708029197,0.145126663804208
"L0543",75,-0.000759803618499271,0.263633182423013,0.266666666666667,16,36,9,26,35,27,15,42,0.0776699029126214,0.174757281553398,0.0436893203883495,0.12621359223301,0.169902912621359,0.131067961165049,0.0728155339805825,0.203883495145631
"L0544",1346,0.00996841752595729,0.140942385582885,0.309063893016345,839,1343,646,1276,872,1115,672,1517,0.101328502415459,0.16219806763285,0.0780193236714976,0.154106280193237,0.105314009661836,0.134661835748792,0.0811594202898551,0.183212560386473
"L0545",3180,0.00637257659719939,0.234877213697609,0.242452830188679,1029,1448,1238,1661,917,1240,720,1751,0.102858856457417,0.144742103158737,0.12375049980008,0.166033586565374,0.0916633346661336,0.123950419832067,0.0719712115153938,0.175029988004798
"L0546",8377,0.0129955191242587,0.225644334744164,0.199952250208905,1197,3058,1018,2090,1773,2519,1446,2868,0.0749577306030434,0.19149602354562,0.0637485127434404,0.130878577243409,0.111027616006012,0.157743127309162,0.0905504414803682,0.179597971068946
"L0547",711,-0.0372508841557337,0.204455442655972,0.378340365682138,443,364,306,547,194,482,229,333,0.152864044168392,0.1256038647343,0.105590062111801,0.188750862663906,0.0669427191166322,0.16632160110421,0.0790200138026225,0.114906832298137
"L0548",1704,0.0156067050245038,0.178837265650429,0.188380281690141,254,558,230,407,327,451,295,712,0.0785405071119357,0.172541743970315,0.0711193568336426,0.125850340136054,0.101113172541744,0.139455782312925,0.0912183055040198,0.220160791589363
"L0549",3688,0.00805741201100062,0.240736166071153,0.222885032537961,857,1127,932,1117,955,1332,624,1759,0.0984717913363208,0.129495576238079,0.107089509364587,0.128346547167643,0.109732276226589,0.153050672182006,0.0716994139951741,0.202114213489601
"L0550",5926,0.0142034699509163,0.218834322366359,0.222578467769153,1268,2763,1376,1960,1718,2335,1224,2806,0.0820711974110032,0.178834951456311,0.0890614886731392,0.126860841423948,0.111197411003236,0.151132686084142,0.0792233009708738,0.181618122977346
"L0551",5429,0.0344507811575154,0.257472343535957,0.245533247375207,1930,3906,1811,2794,3759,3668,2085,4753,0.0781186756253542,0.158099247146442,0.0733020318950862,0.113089937666963,0.152149275479641,0.148465959685906,0.0843924552740225,0.192382417226585
"L0553",5156,0.0154832966711334,0.215265508702364,0.253878975950349,1867,2405,1264,2772,1429,2441,1266,3669,0.109098346286449,0.140536434289721,0.0738619762753462,0.161982118857009,0.0835037690644539,0.142640098170981,0.0739788464909718,0.214398410565068
"L0554",2731,0.0348799709012316,0.193033560593118,0.219699743683632,695,1749,739,1072,1407,1415,777,1891,0.0713186249358645,0.179476654694715,0.0758337609030272,0.110005130836326,0.144381734222678,0.14520266803489,0.0797331965110313,0.194048229861467
"L0555",1921,-0.00727695385283237,0.294318685667721,0.315981259760541,694,1353,801,1075,1481,1519,691,1211,0.0786402266288952,0.153314447592068,0.0907648725212465,0.121813031161473,0.167818696883853,0.172124645892351,0.078300283286119,0.137223796033994
"L0556",411,-0.0412397337046213,0.33426540065458,0.35036496350365,188,200,187,311,150,255,143,225,0.11332127787824,0.120554550934298,0.112718505123568,0.187462326702833,0.0904159132007233,0.15370705244123,0.0861965039180229,0.135623869801085
"L0557",1268,0.000472846008766008,0.201563480560042,0.254731861198738,560,609,441,705,463,526,375,808,0.124804992199688,0.135725429017161,0.0982839313572543,0.157120570537107,0.103186984622242,0.117227546244707,0.0835747715622911,0.18007577445955
"L0558",2232,-0.00203644779992281,0.231306333049731,0.2665770609319,787,1100,559,1242,791,1161,675,1383,0.102234346583528,0.142894258248896,0.0726162639646662,0.161340607950117,0.10275396206807,0.150818394388153,0.0876851130163679,0.179657053780203
"L0559",5527,0.00774494389286389,0.266787064524766,0.278270309390266,1949,2720,1351,2836,1935,2928,1636,2840,0.107117339928552,0.149491618576532,0.0742511679032701,0.15586699642759,0.106347897774114,0.160923330585326,0.0899148117614729,0.156086837043144
"L0560",2632,0.0510067443212399,0.231654276076888,0.18693009118541,641,1647,524,1136,1123,948,863,1756,0.0742069923593424,0.190669136374161,0.0606621903218338,0.131511924056495,0.130006946052327,0.109747626765455,0.0999073859689743,0.203287798101412
"L0561",239,0.0308784308111308,0.177806257911471,0.184100418410042,45,127,40,82,112,95,50,112,0.0678733031674208,0.191553544494721,0.0603318250377074,0.1236802413273,0.168929110105581,0.143288084464555,0.0754147812971342,0.168929110105581
"L0564",4552,0.0159591292191507,0.258289363257139,0.224956063268893,1247,2094,1135,1877,1458,1877,1037,2705,0.0928518242740134,0.155919583023083,0.084512285927029,0.1397617274758,0.108562918838421,0.1397617274758,0.0772151898734177,0.201414743112435
"L0565",4552,0.0159591292191507,0.258289363257139,0.224956063268893,1247,2094,1135,1877,1458,1877,1037,2705,0.0928518242740134,0.155919583023083,0.084512285927029,0.1397617274758,0.108562918838421,0.1397617274758,0.0772151898734177,0.201414743112435
